Facility_Name,Instrument_Type,Instrument_Model,Run_ID,Operator_ID,Protocol_Name,Protocol_Version,Reagent_Kit,Sample_Type,Sample_ID,QC_Status,QC_Score_PreNorm,QC_Score_PostNorm,Turnaround_Time_days,Data_Volume_GB,Data_Completeness_pct,Audit_Trail_Complete,Field_Source,Timestamp_Captured,Version,Validation_Status,Dataset_Type,Licensing_Status,Value_$,Read_1_Length,Read_2_Length,Indices_1_Length,Indices_2_Length,PhiX_pct,Order_Date,Total_Amount,Fulfillment_Status,Primary_Data_Size_GB,Primary_Data_Hash,Primary_Data_Link,Normalization_Status
Genome Center D,Illumina NextSeq,NextSeq 2000 P4,RUN_H41F3IH,OP_LUYW,Targeted Panel v2,v3.3,QIAseq FX,Human,S_QXTFY0S9U,Pass,88.6,96.2,8.6,67.9,92,Y,Instrument Log,2/15/25 0:00,3.2,In Review,Genomics,Review,3600,151,151,10,12,1.21,9/1/25,6400,DRAFT,61.9,519ef33028854d7cf53fa498e4fe2280,s3://ga-tech-datasets/genome-center-d/RUN_H41F3IH.fastq.gz,Mapped
Genomics Core B,Illumina NovaSeq,NextSeq 2000 P4,RUN_X7T4EJ2,OP_KTV7,RNA-Seq PolyA,v2.1,Nextera XT,Organoid,S_ZERR8LVYJ,Pass,93.4,95.4,3.1,58.6,94,Y,QC Pipeline,5/3/25 0:00,1.2,In Review,QC_Logs,Review,6400,151,151,10,12,0.65,4/16/25,6400,PENDING,97.7,46ff2e1bde3e18750c5a65e1bb640ef3,s3://ga-tech-datasets/genomics-core-b/RUN_X7T4EJ2.fastq.gz,Mapped
Genomics Core A,Illumina NextSeq,NovaSeq 6000 S4,RUN_I2M4AGH,OP_HIOE,Metagenomics Shotgun,v3.3,Rapid Barcoding 24,Human,S_YVY83MIBB,Pass,98.8,100,5.7,43.9,94,Y,Core LIMS,2/11/25 0:00,3.4,In Review,QC_Logs,Ready,6800,151,151,12,12,0.84,5/20/25,12800,SUBMITTED,109.8,011de2b259bd0344fc5f7862e023420a,s3://ga-tech-datasets/genomics-core-a/RUN_I2M4AGH.fastq.gz,Mapped
Genomics Core C,Illumina NovaSeq,NextSeq 2000 P4,RUN_WNOEHF9,OP_QNAZ,WGS PCR-Free,v2.1,Nextera XT,Mouse,S_QU9AN6AEU,Pass,89.8,91.5,4.1,29.8,91,N,Core LIMS,3/30/25 0:00,2.7,In Review,Genomics,Review,7100,151,151,12,10,1.72,6/18/25,3200,PENDING,47.8,f148ebc963dc0b1bd2619e16f4278a5f,s3://ga-tech-datasets/genomics-core-c/RUN_WNOEHF9.fastq.gz,Mapped
Genome Center E,Illumina NextSeq,NovaSeq 6000 S4,RUN_G9KUGQX,OP_Q3I9,Targeted Panel v2,v1.0,Nextera XT,Organoid,S_8K7ABTKHN,Pass,87.8,88.2,4.8,96.9,92,Y,Core LIMS,2/18/25 0:00,1.9,Validated,QC_Logs,Review,6700,151,151,8,10,1.27,3/20/25,1800,PENDING,22.2,84fe70982ad1b2b60f292ebc67acd0a1,s3://ga-tech-datasets/genome-center-e/RUN_G9KUGQX.fastq.gz,Unmapped
Genome Center E,Illumina NovaSeq,NovaSeq 6000 S4,RUN_U0GRK7M,OP_ECGE,WGS PCR-Free,v2.1,Nextera XT,Organoid,S_FPZHYX6H8,Pass,92.2,90.6,4.3,40.1,94,Y,Sample Form,2/23/25 0:00,3.4,In Review,Genomics,Review,4800,151,151,10,10,0.48,7/9/25,12800,PENDING,106.5,4d4c7358c9edc94615e61afd478343fb,s3://ga-tech-datasets/genome-center-e/RUN_U0GRK7M.fastq.gz,Mapped
Genome Center E,Illumina NextSeq,NovaSeq 6000 S4,RUN_O6OXC3I,OP_9OAU,Metagenomics Shotgun,v3.3,Illumina V3 Kit,Human,S_EPGKM7PYA,Pass,92.5,93.9,3.9,53.8,91,Y,QC Pipeline,1/27/25 0:00,3.3,In Review,Genomics,Review,6300,151,151,8,8,0.12,4/16/25,4200,COMPLETED,75.5,ddf1e179523d54e2ee9224927180b032,s3://ga-tech-datasets/genome-center-e/RUN_O6OXC3I.fastq.gz,Mapped
Genomics Core A,ONT PromethION,NovaSeq 6000 S4,RUN_5AZB8I6,OP_WQ3Z,Metagenomics Shotgun,v2.1,Illumina V3 Kit,Mouse,S_PMJVVSA2K,Pass,85.3,89.7,8.1,82.9,91,Y,QC Pipeline,2/26/25 0:00,1.8,In Review,Protocol_Benchmarks,Review,2000,400,0,8,0,0.86,8/26/25,6400,SUBMITTED,111.3,d0698ac6d5f8becd8072e333a9f64005,s3://ga-tech-datasets/genomics-core-a/RUN_5AZB8I6.fastq.gz,Mapped
Genomics Core B,ONT PromethION,NextSeq 2000 P4,RUN_84SQBXV,OP_HSNB,Targeted Panel v2,v1.0,Illumina V3 Kit,Human,S_33TNAQNS1,Pass,88,91.8,3.5,75.6,94,Y,Core LIMS,4/8/25 0:00,3.7,In Review,Protocol_Benchmarks,Review,2200,400,0,8,0,0.43,2/21/25,3200,SUBMITTED,47.6,e8e11d106eb1ddce3f5c9caa9cb2d858,s3://ga-tech-datasets/genomics-core-b/RUN_84SQBXV.fastq.gz,Mapped
Genomics Core A,Illumina NextSeq,NextSeq 2000 P4,RUN_DGDINLJ,OP_QD5Z,Targeted Panel v2,v3.3,Illumina V3 Kit,Organoid,S_0RASRNG1A,Pass,90.5,93.6,2.6,71.6,91,Y,Instrument Log,1/24/25 0:00,2.3,Validated,Genomics,Review,6000,151,151,10,10,0.75,5/9/25,6400,PENDING,30.8,fdd7c6aa34026726935585b5662a34cf,s3://ga-tech-datasets/genomics-core-a/RUN_DGDINLJ.fastq.gz,Unmapped
Genome Center E,Illumina NovaSeq,NextSeq 2000 P4,RUN_QQXMHTZ,OP_YOIX,Targeted Panel v2,v1.0,Rapid Barcoding 24,Human,S_P1M0PRNQG,Fail,75.8,78.7,7.2,79.8,96,Y,Sample Form,2/14/25 0:00,1.9,In Review,Genomics,Ready,2800,151,151,10,10,1.59,6/28/25,9600,DRAFT,82,aed7c578fd7a3c88ca142b039b8de2f9,s3://ga-tech-datasets/genome-center-e/RUN_QQXMHTZ.fastq.gz,Mapped
Genomics Core A,Illumina NextSeq,NovaSeq 6000 S4,RUN_RI1BATY,OP_72RO,Metagenomics Shotgun,v2.1,Rapid Barcoding 24,Organoid,S_UNROOARME,Pass,94.4,95.6,4.3,28.1,94,Y,Sample Form,5/13/25 0:00,2.6,In Review,QC_Logs,Review,2000,151,151,10,10,1.15,9/2/25,1800,PENDING,42.3,a19b918eb2ff2c697cfcef14b9018922,s3://ga-tech-datasets/genomics-core-a/RUN_RI1BATY.fastq.gz,Mapped
Genome Center E,Illumina NextSeq,NextSeq 2000 P4,RUN_4AUIMB3,OP_DER9,RNA-Seq PolyA,v3.3,Illumina V3 Kit,Mouse,S_Y35ENQWFX,Pass,91.4,93.6,6.1,36.4,97,Y,Sample Form,3/10/25 0:00,2.9,Validated,Genomics,Review,5500,151,151,8,8,0.86,7/30/25,9600,PENDING,71.9,290977a8bcec87392ed1c1b17ab6ec3a,s3://ga-tech-datasets/genome-center-e/RUN_4AUIMB3.fastq.gz,Mapped
Genome Center E,Illumina NovaSeq,NextSeq 2000 P4,RUN_HJ4FNCJ,OP_NHBQ,RNA-Seq PolyA,v3.3,Rapid Barcoding 24,Organoid,S_P6D4QIS48,Fail,81.6,84,4.5,48.9,100,Y,Sample Form,4/8/25 0:00,2.4,In Review,QC_Logs,Review,2500,151,151,10,10,1.4,3/23/25,12800,DRAFT,92.6,b5bedca4c58552f21e87b62b28fe5c97,s3://ga-tech-datasets/genome-center-e/RUN_HJ4FNCJ.fastq.gz,Mapped
Genome Center E,Illumina NovaSeq,NextSeq 2000 P4,RUN_XQSLYS2,OP_M84M,Targeted Panel v2,v2.1,Rapid Barcoding 24,Mouse,S_KHASMSSN5,Pass,96.8,100,4.8,82.5,96,N,Instrument Log,4/10/25 0:00,2.1,Validated,Protocol_Benchmarks,Review,5500,151,151,12,8,0.62,10/4/25,6400,DRAFT,41.9,26af0bdf614dea11790a8017bd64f757,s3://ga-tech-datasets/genome-center-e/RUN_XQSLYS2.fastq.gz,Mapped
Genomics Core A,Illumina NextSeq,NovaSeq 6000 S4,RUN_HVQNL8H,OP_WPFC,RNA-Seq PolyA,v2.1,Illumina V3 Kit,Mouse,S_D03U77QOY,Pass,87.3,86.5,1.3,41,97,Y,Sample Form,5/16/25 0:00,1.6,In Review,Protocol_Benchmarks,Ready,5300,151,151,10,10,0.98,7/18/25,9600,COMPLETED,109.3,048ebc816f0ea4cd01af0a2a91aed033,s3://ga-tech-datasets/genomics-core-a/RUN_HVQNL8H.fastq.gz,Unmapped
Genome Center E,ONT PromethION,PromethION R10.4,RUN_NB4X1K4,OP_92LN,WGS PCR-Free,v2.1,Rapid Barcoding 24,Human,S_33ZZ1ARXI,Pass,89.4,89.9,5.5,55.8,93,Y,QC Pipeline,4/11/25 0:00,2.2,In Review,QC_Logs,Review,4700,400,0,8,0,1.44,10/3/25,6400,COMPLETED,41.2,72dcc30e4ae00020d9fcf34d30acfe1c,s3://ga-tech-datasets/genome-center-e/RUN_NB4X1K4.fastq.gz,Mapped
Genome Center D,Illumina NextSeq,NovaSeq 6000 S4,RUN_ZPTVHQK,OP_EQ1T,WGS PCR-Free,v1.0,Illumina V3 Kit,Organoid,S_SNLC5SOZT,Pass,85.7,91.5,4,73.6,91,Y,Instrument Log,1/23/25 0:00,2.3,In Review,Protocol_Benchmarks,Pending,6200,151,151,12,12,1.41,2/5/25,9600,SUBMITTED,110.2,dbdd707311b88b8a1d72db03041b8fb9,s3://ga-tech-datasets/genome-center-d/RUN_ZPTVHQK.fastq.gz,Mapped
Genome Center D,ONT PromethION,PromethION R10.4,RUN_L8S8RGF,OP_RGQ9,RNA-Seq PolyA,v3.3,Nextera XT,Mouse,S_XVAX27UEJ,Fail,82.8,84.5,4.7,55.1,95,Y,Sample Form,4/25/25 0:00,1.6,Validated,QC_Logs,Ready,6900,400,0,8,0,1.28,9/25/25,1800,PENDING,59.9,8019003e7b6251c26f978c4ad9723f84,s3://ga-tech-datasets/genome-center-d/RUN_L8S8RGF.fastq.gz,Mapped
Genome Center D,ONT PromethION,NextSeq 2000 P4,RUN_HTI3DAN,OP_GDUU,WGS PCR-Free,v2.1,QIAseq FX,Human,S_FY3YK3BT7,Pass,94.7,96.4,4.8,71.1,96,Y,Instrument Log,2/22/25 0:00,1.3,Validated,Genomics,Review,3400,400,0,8,0,1.22,8/31/25,12800,PENDING,86.9,698b4a7f2278b6e721f2f41496c96af6,s3://ga-tech-datasets/genome-center-d/RUN_HTI3DAN.fastq.gz,Mapped
Genomics Core A,ONT PromethION,NextSeq 2000 P4,RUN_6L0GYZB,OP_50FT,Metagenomics Shotgun,v3.3,Illumina V3 Kit,Organoid,S_KLT7YR8DC,Pass,97.9,100,4.4,88.2,90,Y,Sample Form,2/28/25 0:00,3.6,Validated,Protocol_Benchmarks,Review,6300,400,0,8,0,1.43,5/22/25,12800,DRAFT,68.2,26d3f995e046772319599b8a9a953c58,s3://ga-tech-datasets/genomics-core-a/RUN_6L0GYZB.fastq.gz,Mapped
Genomics Core A,Illumina NextSeq,NextSeq 2000 P4,RUN_9ZVJO7N,OP_2JGV,RNA-Seq PolyA,v1.0,QIAseq FX,Human,S_1906CHNE7,Pass,85.3,85.5,5,47,93,Y,Sample Form,2/27/25 0:00,3.7,In Review,Genomics,Ready,3200,151,151,8,10,1.04,7/19/25,9600,COMPLETED,60.3,368a85f8cb8e2ed8b84c358d670101dd,s3://ga-tech-datasets/genomics-core-a/RUN_9ZVJO7N.fastq.gz,Mapped
Genome Center E,Illumina NovaSeq,NovaSeq 6000 S4,RUN_TIKWH6K,OP_9LW8,RNA-Seq PolyA,v2.1,Nextera XT,Human,S_KUPFU9329,Pass,86,90.8,4.6,56.7,92,Y,QC Pipeline,2/1/25 0:00,2.2,Validated,QC_Logs,Pending,6200,151,151,8,12,1.09,4/28/25,12800,PENDING,97.2,d0149572b51be06dbd65b239a1858f1f,s3://ga-tech-datasets/genome-center-e/RUN_TIKWH6K.fastq.gz,Mapped
Genomics Core C,Illumina NovaSeq,NextSeq 2000 P4,RUN_NO45BCD,OP_55NH,Targeted Panel v2,v2.1,Rapid Barcoding 24,Organoid,S_YFVIA91L9,Pass,89.5,93.2,6.2,55.8,94,N,Instrument Log,2/2/25 0:00,2.8,Validated,QC_Logs,Review,4500,151,151,10,10,0.93,1/25/25,1800,COMPLETED,128.8,7c64cb2bc6ea50a3c872b26deff83dcf,s3://ga-tech-datasets/genomics-core-c/RUN_NO45BCD.fastq.gz,Mapped
Genome Center E,Illumina NextSeq,NovaSeq 6000 S4,RUN_XD99JUM,OP_UHF6,Metagenomics Shotgun,v2.1,Illumina V3 Kit,Human,S_2FE9DW2BK,Fail,79.9,83.1,5.5,8,94,Y,Sample Form,7/21/25 0:00,1.7,In Review,QC_Logs,Review,5800,151,151,12,8,1.6,3/28/25,9600,COMPLETED,86.9,a287d651dc0677e2423ef0a33437f9b7,s3://ga-tech-datasets/genome-center-e/RUN_XD99JUM.fastq.gz,Mapped
Genomics Core A,Illumina NovaSeq,NovaSeq 6000 S4,RUN_D0ZCXW6,OP_2WJT,Metagenomics Shotgun,v3.3,Illumina V3 Kit,Organoid,S_858L22TQM,Pass,85.8,85.5,6.6,68.1,94,Y,Core LIMS,3/28/25 0:00,3.3,Validated,Genomics,Review,5400,151,151,12,8,1.22,1/25/25,3200,PENDING,32.2,0143ddda8a6acc90b5b8e5ed578cbd58,s3://ga-tech-datasets/genomics-core-a/RUN_D0ZCXW6.fastq.gz,Mapped
Genomics Core C,ONT PromethION,PromethION R10.4,RUN_6VOT86H,OP_QTAM,Targeted Panel v2,v2.1,Nextera XT,Human,S_IRQZ9PDQ7,Fail,81.2,81.1,5.3,68.9,94,Y,Instrument Log,2/26/25 0:00,3.9,In Review,Genomics,Review,2700,400,0,8,0,0.75,8/9/25,6400,DRAFT,101.1,6e491d6597d88106feaa620553409eb7,s3://ga-tech-datasets/genomics-core-c/RUN_6VOT86H.fastq.gz,Unmapped
Genome Center E,Illumina NextSeq,NextSeq 2000 P4,RUN_S9FSEH8,OP_3V6W,Metagenomics Shotgun,v1.0,QIAseq FX,Organoid,S_VGE2TRYMB,Pass,87.1,91.6,3.2,98.7,94,Y,Instrument Log,3/8/25 0:00,3.9,In Review,Genomics,Ready,6300,151,151,10,12,1.24,7/12/25,1800,PENDING,38.3,642990642b8abfc9e7fcae8b4f9c7d11,s3://ga-tech-datasets/genome-center-e/RUN_S9FSEH8.fastq.gz,Mapped
Genomics Core B,Illumina NextSeq,NovaSeq 6000 S4,RUN_QYCI69N,OP_9NFF,Targeted Panel v2,v1.0,Illumina V3 Kit,Organoid,S_BVXHJQ4V9,Fail,78.9,82.2,3.3,71.7,87,Y,Instrument Log,4/3/25 0:00,2.9,In Review,Genomics,Pending,2300,151,151,10,10,0.77,1/24/25,9600,DRAFT,101.5,8bc7a8fa6f1f24dbfba501408cf7efd7,s3://ga-tech-datasets/genomics-core-b/RUN_QYCI69N.fastq.gz,Mapped
Genomics Core C,Illumina NovaSeq,NextSeq 2000 P4,RUN_L9PZ801,OP_D2C1,RNA-Seq PolyA,v3.3,QIAseq FX,Mouse,S_MSVYWN06Y,Pass,89.2,91.2,5.5,62.8,95,N,Sample Form,5/22/25 0:00,3.8,Validated,Protocol_Benchmarks,Ready,2900,151,151,10,8,0.95,9/29/25,4200,DRAFT,64.4,5f361ca1388c4e7d3005f051eacbac0d,s3://ga-tech-datasets/genomics-core-c/RUN_L9PZ801.fastq.gz,Mapped
Genomics Core C,ONT PromethION,PromethION R10.4,RUN_1Z17JQ7,OP_3SLP,Targeted Panel v2,v2.1,Illumina V3 Kit,Organoid,S_K443LWYY4,Pass,100,100,0.6,82.3,94,Y,Sample Form,1/27/25 0:00,2.1,In Review,Genomics,Ready,5500,400,0,8,0,1.34,7/3/25,1800,DRAFT,88.4,bb6c60e3193d70f84a80c6be9a436d85,s3://ga-tech-datasets/genomics-core-c/RUN_1Z17JQ7.fastq.gz,Mapped
Genomics Core A,ONT PromethION,NextSeq 2000 P4,RUN_DZ8N0FD,OP_AEB2,WGS PCR-Free,v2.1,QIAseq FX,Organoid,S_LZQVM2QR6,Pass,98.9,99.2,7.2,54,97,Y,QC Pipeline,2/13/25 0:00,1.2,Validated,QC_Logs,Review,7100,400,0,8,0,0.96,8/2/25,6400,COMPLETED,39.4,cde4b976148ed3a1a57b6c8fa4c68219,s3://ga-tech-datasets/genomics-core-a/RUN_DZ8N0FD.fastq.gz,Mapped
Genomics Core A,ONT PromethION,NextSeq 2000 P4,RUN_IGVKGFH,OP_587L,Metagenomics Shotgun,v2.1,QIAseq FX,Human,S_H9DNXYQQU,Pass,85.7,88.7,5.9,64.2,86,Y,Sample Form,2/16/25 0:00,1.2,In Review,QC_Logs,Ready,5700,400,0,8,0,0.99,8/6/25,1800,PENDING,119.3,2fdbb9067e37521511538047fae576ef,s3://ga-tech-datasets/genomics-core-a/RUN_IGVKGFH.fastq.gz,Mapped
Genomics Core C,Illumina NextSeq,NextSeq 2000 P4,RUN_WEVGIQH,OP_3VR3,Metagenomics Shotgun,v2.1,QIAseq FX,Mouse,S_NN11849BL,Fail,76.2,80.8,3.9,75.6,99,Y,Sample Form,5/10/25 0:00,3,In Review,Genomics,Ready,8500,151,151,8,8,1.13,3/24/25,4200,DRAFT,24.6,fc88f45e6385ee48fb399a04d345225d,s3://ga-tech-datasets/genomics-core-c/RUN_WEVGIQH.fastq.gz,Mapped
Genomics Core A,Illumina NextSeq,NextSeq 2000 P4,RUN_QBMO5DD,OP_RFL9,RNA-Seq PolyA,v3.3,Illumina V3 Kit,Human,S_DC5YZ03NG,Pass,93.4,97.9,3.5,50.2,97,Y,Core LIMS,5/3/25 0:00,3.9,In Review,Protocol_Benchmarks,Ready,3400,151,151,8,10,1.08,8/26/25,6400,PENDING,128.9,04084c9ca7d7ff9a4dae4c7228516a5f,s3://ga-tech-datasets/genomics-core-a/RUN_QBMO5DD.fastq.gz,Mapped
Genome Center E,ONT PromethION,PromethION R10.4,RUN_01XEZ11,OP_OOLQ,RNA-Seq PolyA,v3.3,Illumina V3 Kit,Human,S_PWY0VUM1H,Pass,96.1,99.9,3.9,26.1,94,Y,Sample Form,2/26/25 0:00,3.7,Validated,Protocol_Benchmarks,Review,6000,400,0,8,0,1.32,8/27/25,9600,COMPLETED,38.9,c8e620ffb1400391f748c500d1a6c0eb,s3://ga-tech-datasets/genome-center-e/RUN_01XEZ11.fastq.gz,Mapped
Genome Center D,Illumina NextSeq,NextSeq 2000 P4,RUN_GZGZLGH,OP_9UZ1,Targeted Panel v2,v3.3,Rapid Barcoding 24,Human,S_0ATIS2XXY,Pass,89.6,99,5.1,27.1,98,Y,Sample Form,3/7/25 0:00,3.4,In Review,QC_Logs,Ready,7200,151,151,8,12,0.63,1/31/25,9600,PENDING,87.9,73f4763620416d20184705668c7d8435,s3://ga-tech-datasets/genome-center-d/RUN_GZGZLGH.fastq.gz,Mapped
Genomics Core B,Illumina NovaSeq,NextSeq 2000 P4,RUN_CH6L8SS,OP_Y4C2,Metagenomics Shotgun,v3.3,QIAseq FX,Human,S_0WKAL02RP,Pass,98.3,100,4.5,71.4,94,Y,Sample Form,2/15/25 0:00,3.9,Validated,Genomics,Pending,6400,151,151,12,12,0.9,10/3/25,3200,DRAFT,31.2,93e7da53b53e7077db3290520e10e3d0,s3://ga-tech-datasets/genomics-core-b/RUN_CH6L8SS.fastq.gz,Unmapped
Genomics Core C,Illumina NovaSeq,NovaSeq 6000 S4,RUN_4WQ9T7A,OP_F1CA,Metagenomics Shotgun,v3.3,QIAseq FX,Organoid,S_TPTQT7R50,Pass,92.4,95.4,1.5,37.5,94,Y,Sample Form,2/8/25 0:00,2.7,Validated,Protocol_Benchmarks,Review,6200,151,151,10,12,1.01,8/2/25,12800,DRAFT,113.3,21b9731939ad704d8972ecfd443e87f9,s3://ga-tech-datasets/genomics-core-c/RUN_4WQ9T7A.fastq.gz,Mapped
Genome Center D,Illumina NovaSeq,NextSeq 2000 P4,RUN_T643FC9,OP_B0WG,RNA-Seq PolyA,v2.1,Nextera XT,Organoid,S_N12XV5NUP,Pass,89.1,93.8,8.7,55,97,N,Sample Form,2/14/25 0:00,3.4,Validated,Genomics,Pending,7700,151,151,12,8,1.03,3/31/25,1800,DRAFT,119.2,ef15bd258c194386a5d1d0b560b2abdb,s3://ga-tech-datasets/genome-center-d/RUN_T643FC9.fastq.gz,Mapped
Genome Center E,Illumina NextSeq,NovaSeq 6000 S4,RUN_A2YHADF,OP_5NFL,Metagenomics Shotgun,v2.1,Rapid Barcoding 24,Mouse,S_IUSZJAS9Y,Pass,86.2,89.7,4.7,58.5,93,Y,Sample Form,5/15/25 0:00,3.2,In Review,Protocol_Benchmarks,Ready,3600,151,151,8,10,0.92,5/8/25,6400,COMPLETED,65,4bd51e2932c2ab02c81f40e08f99629e,s3://ga-tech-datasets/genome-center-e/RUN_A2YHADF.fastq.gz,Mapped
Genome Center E,ONT PromethION,PromethION R10.4,RUN_R6UWO9L,OP_FCUB,Targeted Panel v2,v3.3,Illumina V3 Kit,Human,S_WUHDC0OKR,Pass,83.8,88.6,5.7,86.6,98,Y,Instrument Log,5/7/25 0:00,1.9,Validated,QC_Logs,Review,2300,400,0,8,0,0.9,2/23/25,12800,DRAFT,51.3,1e682924b079245afd300923ddd49928,s3://ga-tech-datasets/genome-center-e/RUN_R6UWO9L.fastq.gz,Mapped
Genomics Core B,Illumina NovaSeq,NovaSeq 6000 S4,RUN_DNV2RU0,OP_V7FL,WGS PCR-Free,v1.0,Rapid Barcoding 24,Human,S_NJ03FLT9A,Pass,93.8,97.1,6.7,72.8,94,Y,Instrument Log,2/18/25 0:00,3.4,Validated,Protocol_Benchmarks,Pending,3500,151,151,12,10,0.42,7/19/25,9600,SUBMITTED,35.7,86ca8bc94cbf26e8f00c5866f1cea62a,s3://ga-tech-datasets/genomics-core-b/RUN_DNV2RU0.fastq.gz,Mapped
